成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"2,326,573,473",79.90,80.10,79.30,80.00,-0.20,"15,644",170,-369,1839
"2,527,103,680",80.30,80.80,79.30,79.60,-0.40,"16,863",173,-375,-1819
"2,454,548,205",79.90,80.00,79.40,79.80,+0.20,"12,143",101,834,-3812
"2,574,486,308",79.10,79.40,78.60,78.90,-0.90,"13,903",325,-389,-6467
"3,980,268,990",79.80,80.00,79.30,79.80,+0.90,"16,087",106,1807,7558
"2,625,777,041",79.20,79.50,79.00,79.00,-0.80,"12,634",-627,167,-12746
"1,900,379,841",79.80,79.80,79.20,79.20,+0.20,"9,019",163,-459,236
"1,570,944,601",79.00,79.50,78.90,79.50,+0.30,"8,624",-117,470,1272
"1,131,510,290",79.10,79.80,79.10,79.60,+0.10,"6,729",231,-1645,3660
"1,988,141,329",80.20,80.30,80.00,80.20,+0.60,"12,328",204,-1062,6504
"1,228,163,082",80.50,80.50,80.00,80.00,-0.20,"7,541",351,-427,3780
"4,199,103,543",81.00,81.90,80.50,81.10,+1.10,"22,212",790,1503,14041
"3,142,515,068",81.50,81.70,80.90,81.60,+0.50,"17,857",1050,-688,4097
"2,857,168,832",82.10,82.40,81.60,81.80,+0.20,"16,735",1362,-527,992
"1,820,447,522",81.60,81.70,80.70,81.20,-0.60,"10,756",413,160,6201
"2,410,790,322",80.80,82.00,80.40,81.90,+0.70,"12,836",625,202,8153
"2,694,088,835",81.90,82.20,81.60,82.10,+0.20,"13,865",653,152,15494
"3,168,757,404",82.20,82.50,82.20,82.40,+0.30,"17,142",1263,-2136,13265
"3,332,081,435",82.80,83.50,82.70,83.50,+1.10,"19,648",1307,199,14478
"5,528,330,463",84.00,85.00,83.90,84.30,+0.80,"21,452",2399,1487,2787
"2,648,240,473",84.90,85.00,84.10,84.20,-0.10,"12,936",285,765,1049
"4,202,923,535",84.60,85.90,84.50,85.70,+1.50,"22,538",809,2673,9213
"3,116,188,534",85.20,85.90,85.00,85.60,-0.10,"15,532",572,-1089,8444
"3,157,529,739",85.90,86.40,85.00,85.40,-0.20,"14,334",515,995,5517
"2,559,426,125",85.90,85.90,84.60,84.80,-0.60,"11,413",577,74,4553
"2,638,377,555",84.70,85.30,83.60,85.30,+0.50,"13,187",223,1130,5039
"1,974,411,594",85.30,85.40,84.40,84.60,-0.70,"10,155",292,63,394
"4,303,489,411",84.00,84.40,82.60,82.60,-2.00,"22,829",171,-14,-9766
"3,578,842,816",82.10,83.00,81.60,81.70,-0.90,"19,671",84,-990,-5827
"2,099,932,861",81.60,82.50,81.60,82.00,+0.30,"12,048",425,334,-6658
"2,514,764,931",82.50,83.60,82.30,83.50,+1.50,"12,691",588,4264,-2903
"1,697,624,018",83.90,84.00,82.60,83.00,-0.50,"9,084",526,-3190,2981
"5,729,678,499",84.00,84.20,80.10,80.40,-2.60,"34,308",-2,-6377,-10233
"3,970,888,660",82.40,82.40,81.50,81.50,+1.10,"20,087",12,-2257,-6911
"5,806,685,536",79.50,80.30,79.00,79.00,-2.50,"36,477",-214,-2446,-29610
"3,636,058,959",79.50,79.60,78.60,79.00, 0.00,"20,965",157,848,-14053
"2,708,207,615",78.70,79.80,78.70,79.00, 0.00,"13,178",30,595,-8958
"3,107,911,377",79.40,79.90,79.00,79.00, 0.00,"15,934",-104,249,-15866
"2,551,904,153",79.80,80.60,79.30,80.60,+1.60,"14,937",51,-63,7733
"2,594,525,626",80.60,81.30,79.80,80.90,+0.30,"12,755",574,1389,-4721
"1,160,314,919",80.90,81.10,80.50,80.90, 0.00,"7,583",70,180,-107
"2,367,240,599",81.30,81.70,81.00,81.20,+0.30,"16,017",522,717,10367
"2,235,549,262",81.80,82.30,81.70,82.00,+0.80,"15,020",78,657,6240
"1,458,340,357",81.50,81.70,81.10,81.10,-0.90,"11,030",92,120,-3634
"1,334,411,106",80.90,81.00,80.40,80.50,-0.60,"10,332",172,-593,-3876
"1,258,144,173",81.40,81.40,80.70,81.30,+0.80,"8,312",140,44,5177
"3,446,134,717",82.00,82.80,81.60,82.00,+0.70,"17,338",-27,2294,18272
"4,215,743,681",82.20,82.90,81.30,82.00, 0.00,"16,890",274,-1987,829
"2,155,266,808",82.70,82.70,81.70,82.40,+0.40,"14,033",6,-226,9504
"2,385,451,959",81.50,81.90,81.30,81.70,-0.70,"13,189",0,-3364,-822
"1,345,802,825",81.60,81.90,81.10,81.30,-0.40,"7,658",246,-979,1869
"2,446,504,411",82.10,82.40,81.90,82.30,+1.00,"12,312",-11,-1433,18566
"3,163,814,461",83.20,83.40,82.80,83.10,+0.80,"16,552",1587,-138,20599
"7,041,036,909",84.00,84.80,83.70,84.80,+1.70,"37,837",323,3943,43413
"4,075,058,278",85.50,85.60,84.70,85.00,+0.20,"21,334",654,-1401,26907
"2,979,457,373",84.50,84.90,83.30,83.40,-1.60,"19,752",160,-1499,5254
"3,071,478,684",84.00,84.40,83.60,84.40,+1.00,"17,163",196,81,22860
"2,544,571,895",84.90,85.00,83.70,83.70,-0.70,"14,849",524,272,4035
"2,788,792,456",83.50,84.30,83.50,84.20,+0.50,"14,169",26,1980,-1087
"3,265,986,689",83.90,84.50,83.60,83.60,-0.60,"13,994",30,-526,4151
"2,023,334,586",83.50,83.70,82.80,82.80,-0.80,"14,366",324,649,-255
"1,969,722,802",83.50,83.80,83.00,83.70,+0.90,"11,649",1505,300,10938
"2,849,351,603",84.10,84.20,83.30,83.30,-0.40,"14,001",258,-665,6604
"2,330,930,616",83.60,83.60,82.70,82.80,-0.50,"13,691",1006,347,-965
"1,814,343,262",82.70,83.50,82.60,82.70,-0.10,"11,644",45,724,925
"678,008,136",82.80,83.30,82.80,83.30,+0.60,"4,365",190,-508,1583
"713,905,378",83.50,83.60,83.00,83.50,+0.20,"4,707",429,398,-109
"1,519,137,932",83.10,84.00,83.10,84.00,+0.50,"7,714",323,871,2020
"1,996,176,571",83.10,84.30,83.10,83.60,-0.40,"10,445",169,206,-3010
"1,822,757,166",84.20,84.40,84.00,84.20,+0.60,"9,273",136,-1036,6112
"1,294,730,044",83.7,84.3,83.7,84.3,+0.10,"8,066",120,292,-925
"2,015,096,108",84.3,84.6,84.2,84.2,-0.10,"11,491",239,-558,5876
"2,138,359,820",84.4,84.5,83.8,84.0,-0.20,"10,638",225,1001,-5522
"1,935,817,593",84.5,84.5,83.8,83.8,-0.20,"8,135",454,-902,1222
